,,,,,,,,Mon,,,,,,,,Tue,,,,,,,,Wed,,,,,,,,Thu,,,,,,,,,,Classes Taken
First Name,Last Name,ID,Email,Graduating Quarter,Year,Applying For,In Ellensburg?,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,8 am,9 am,10 am,11 am,12 pm,1 pm,2 pm,3 pm,Experience with Python?,Experience with Visual Basic?,CS 102,CS 105,CS 107,CS 109,CS 110,CS 111,CS 112,CS 301,CS 302,CS 311,CS 312,CS 361,CS 362,CS 380,CS 420,CS 427,CS 430,CS 440,CS 467,CS 470,CS 480
William,Thomas,94576,William.Thomas@cwu.edu,Spring,2024,492,No,Open,Conflict,Open,Open,Open,Conflict,Open,Conflict,Conflict,Conflict,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,No,No,,,,X,,,,X,,,X,,X,,X,,,X,,,X
Sharon,Martin,98258,Sharon.Martin@cwu.edu,Spring,2022,392,Yes,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,No,No,,X,X,,,,,,,,,,,,X,,X,,,,
Mark,Anderson,27954,Mark.Anderson@cwu.edu,Winter,2024,392,Yes,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,No,No,,,,X,,,,,X,X,,,X,,,X,X,,,X,X
Jason,Johnson,10593,Jason.Johnson@cwu.edu,Winter,2022,392,Yes,Open,Conflict,Conflict,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,No,Yes,,,,,,,X,,X,,,,,,,X,,,,,X
Robert,Turner,33323,Robert.Turner@cwu.edu,Spring,2023,392,Yes,Conflict,Open,Conflict,Open,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Conflict,Conflict,Conflict,No,No,X,,,,,,,X,X,X,X,,,X,,,X,,X,X,
Matthew,King,35521,Matthew.King@cwu.edu,Spring,2023,392,No,Open,Conflict,Open,Open,Open,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,No,No,X,,X,,X,X,X,X,X,,X,,X,,,,,,,X,
Christopher,Adams,67803,Christopher.Adams@cwu.edu,Winter,2022,492,No,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Conflict,Open,Conflict,Conflict,Open,Conflict,Open,Open,Conflict,Yes,No,X,,X,X,,X,X,,X,X,X,,,,X,,,X,,,
Steven,Hall,16743,Steven.Hall@cwu.edu,Summer,2022,392,No,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Conflict,Conflict,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Conflict,Yes,Yes,,,,,,X,X,X,X,,,X,,,,,X,,,X,
Amanda,Thomas,28431,Amanda.Thomas@cwu.edu,Summer,2022,492,No,Conflict,Conflict,Open,Conflict,Open,Conflict,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Conflict,Open,Conflict,Open,Conflict,No,No,,,,X,,,,X,X,,,X,,,X,,,,X,,
Walter,Lee,55541,Walter.Lee@cwu.edu,Fall,2024,392,No,Open,Open,Open,Open,Open,Open,Conflict,Open,Open,Open,Open,Conflict,Open,Conflict,Conflict,Conflict,Conflict,Conflict,Open,Open,Conflict,Open,Open,Open,Open,Open,Open,Open,Open,Conflict,Conflict,Open,No,No,X,X,,,X,X,,X,X,,X,,X,,,,,,,,X
